content,score,sentiment
kadang paket dateng nya bagus kadang juga ga sesuai cuman bagus sih menurutku aplikasi ini..,4,positive
"bagus,aman",5,positive
memuaskan,5,positive
pengiriman sesuai dengan estjmasi tanggal pengantaran.,5,positive
"shope lu kocak bngt dh masa ga bisa apus akun, malah server eror lu gmn si",1,negative
seru,5,positive
dengan belanja online di shopee mudah murah dan cepat nggak ribet.. Siiplah..,5,positive
"shopee pngirimannyaa lamaa bgttt ,trs kdang ak psen tggl 1 dkrimnya tggl4 pdhl gd tulisan PO, tlong dong adain konsekuensi atau kebijakan baru,soalnya nnti malah keterusan penjualnya bertele².bkn 1 pket aja yaa ud hmpir sering ak psen d shopee d krimnya lama bngtt!!!!",1,negative
pengiriman nya shopee Indonesia sangat lama sekali tolong pengiriman nya shopee Indonesia di percepat minimal 3 hari,3,negative
mantap terimakasih,5,positive
"lebih kurang udah 6tahun pakai Shopee, alhamdulillah tidak mengecewakan. semoga kedepan tidak lelet packing barang sampai antar ke customer.",5,positive
bagus,5,positive
sukses selalu,5,positive
"kasih byk bonus dan ongkir gratis/minim, dan amanah dlm menjalankan aplikasinya Insya Allah pelangganmu akan bertambah byk, tindak tegas penjual yg kurang amanah terima kasih shopee 💓💖❤️",5,positive
saya senang paket saya cocok dengan pesanan.,5,positive
mending dari pada toko sebelah,5,positive
👍👍,3,negative
cepat dan tepat waktu,5,positive
udah aktif bisa pesen eh pas mau pesan harus. no hp masukin,1,negative
good application,5,positive
the best,5,positive
"murah semua, gratis ongkir",5,positive
shofee lancar jayaaaa,5,positive
"bagus, baguss, terpercaya.",5,positive
sangat baguss,5,positive
Semangat...Terpantau Murahnya👍,5,positive
kadapi the best,5,positive
woi apa-apaan beli token listrik tapi tokennya udah pernah terpakai. gak bisa masuk di meteran listrik ku!,1,negative
"baru pertama kali saya mendapatkan kejadian seperti ini di shopee, saya tidak memesan barang apapunn tapi ada paket datang kerumah saya dengan alamat saya lengkap dan nama. tolong Shopee keamanannya di perketat lagi. kenapa bisa seperti ini?",1,negative
PT Lentera Dana Nusantara itu sampah udah di lunasi malah di bekukan buruk sekali bintang 01,1,negative
Kerennn nak mantappp,5,positive
mantap dh pokok nya ni apk,4,positive
sangat bagus,5,positive
akun sophee gampang di keck penipu.dan pihak sophee tidak mau menindaklanjuti si penipu.,1,negative
👍,5,positive
"senang belanja di shoope 😁,apapun yang dicari pasti adanya di Shoope, terimakasih 🙏",5,positive
aplikasi lemot. ekpedisi juga sama lemot. lama,1,negative
Bagus,5,positive
Sangat berguna,5,positive
byk diskon njir,5,positive
terbaik,5,positive
lebih banyak pilihan dan murah aman,5,positive
makin jaya dan sukses belanja online jadi lebih mudah dan dapat d percaya dari sailer nya hmpir semuanya amanah cuma sayang ketika belanja terkadang sering d batalin sama shopee,5,positive
barang nya sesuai pengiriman cepat kurir nya ramah,5,positive
sangat membantu sekali,5,positive
bagus,5,positive
d hibrida yang mau pesen tahu gak buat para penggemar gaya Harajuku,5,positive
aplikasi Shopee yaman di pakai,5,positive
baguss,5,positive
"Alhamdulillah...bisa menikmati fitur shopee untuk berbelanja,hiburan game, dan transferan.",5,positive
bintang yg bicara,5,positive
sangat membantu sekali,5,positive
Perbaiki bug stuk di 1produk!,1,negative
"ekspedisi nya agak rawan, saya memohon keras untuk pihak shope untuk lebih dilihat lagi kenerja dari pihak ekpedisi pengiriman barang atau pun kurir, karena saya mengalami kehilangan barang atau barang ditukar atau diganti dengan barang lain, ini sangat membuat saya kecewa. hanya inilah yang ingin saya sampaikan Terima kasih.",2,negative
bagus,5,positive
keren,5,positive
luar biasa mantul,5,positive
sorry ini apk g bgt co tlng yg pny apk di perbaiki lagi ya soalnya ga bgttttttt😭😭😭☹️☹️🙏,1,negative
baguss,4,positive
sangat mambantu urusan belanja online,5,positive
sangat memuaskan aplikasi nya juga ok👍 kurir nya juga amanah,5,positive
"gak tau lagu dah shoope skrang pengiriman ke sulawesi lama banget mesen dari tanggal 5 sampe Skrang barang belum tiba, kok beda sama dulu yaa cuman 4 hari sampe Skrang berminggu Minggu",4,positive
"kenapa pengajuan pembatalan kok gak ada respon dari shopee, chat penjual juga gk bisa tolong dong gmn biar dana saya di kembalikan dari pihak shopee krn penjualnya gk ada respon sdh berhari hari",5,positive
bermanfaat untuk orang yang mau berbelanja,5,positive
ok,5,positive
shopee Indonesia oke,5,positive
"spx tidak profesional,paket cod dirijek sepihak sama kurir dan tidak ada kasih kabar paket Dateng,",1,negative
"Ko aku setiap mau pesen di shopee selalu gagal ka, pesanan selalu di tolak, padahal aku pake shopee belum lama dan tidak ada kesalahan, apa di blokir dari sana nya",1,negative
kalau penilaian sering ngelag,5,positive
"barangnya telat dateng jadwalnya sampai kapan, datengnya lebih dari perkiraan mohon pihak shopee atau devoloper buat evaluasi lagi agar tdk ada kejadian seperti ini lagi dan evaluasi juga pihak express supaya tidak membuat menunggu lagi terutama pihak jasa kirim(SPX Express)",1,negative
kkko,5,positive
Komplit dan lengkap,5,positive
selama ini aman barang sesuai...,5,positive
"sangat kecewa, hanya karena utang sedikit ,shopee memblokir semua akses aplikasi termasuk medsos. dasar rentenir online",1,negative
"okayy, rada lag dikit",4,positive
murmer cepat datangnya...,5,positive
aplikasi yang sangat bermanfaat buat banyak orang🤗,5,positive
mantap,5,positive
belanja lebih mudah,5,positive
"tingkatkan bonus,diskon dan voucher",5,positive
"Shoppe semakin semena2 ya, bisa seenaknya sendiri ubah estimasi kedatangan paket. Paket yg harusnya datang maximal 4hr diubah2 jd 7hr kmd diybah jd 12hr, padahal isinya makanan/buah. Ditanya ke cs ga ada solusinya, malah suruh tunggu terus. Ngaku aja paketnya hilang kok malah alasan paket membludak, pdhl beli jg ga di tgl kembar pdhl minat beli konsumen jg lg turun. Management sdh mulai amburadul, paket biasa sehari sampai ditynda dl dipos baru dikirim bsknya. Pdhl dah jd pelanggan vip",1,negative
sangat baik bagus,5,positive
gratis ongkir√ paket cepat datang× paket lama datang√ padahal udah 2 minggu lebih tapi masih g sampe tulisanya masih di proses trus padahal estimasi tiba 14 oktbr tapi masih g ada keliahatan paket di kirim sekali pesan di tiktok hanya 3 harii dah sampe,2,negative
shopee mangkin hari mangkin gak jelas masak nomor hp baru gak bisa daf tar terus yang lebih aneh nomor hp nya pernah terdaftar tar di shopee padahal nomor hp nya baru saya aktifkan pakai kk,3,negative
pengiriman lamaa paket udan seminggu lebih belum sampe sampe kadang paket masih di Denpasar DC terus sekarangg inii paket masih di map masih di Tegal tapi estimasinya udah di Banyumas DC tolong pihak shopee dibenerin lagi,1,negative
setiap saya membuka produk yang saya inginkan tidak bisa membuka gambar/toko dari produk tersebut,4,positive
good,5,positive
bagus banget,5,positive
keren Shopee. Terima kasih Shopee semoga jaya selalu,5,positive
babi,1,negative
sophee keren,5,positive
"Pengiriman dari Tgl 9 Oktober, ini udah tgl 19 masih belum sampai, Jelek sekali",1,negative
bagus,5,positive
Terpercaya,5,positive
mudah aman cepat,5,positive
"jasa pengiriman spx hemat sangat buruk,paket sering stuck,paket hilang, pesanan sampai melebihi tanggal estimasi,sudah seringkali mengajukan agar pesanan segera diproses tp respon nya cuma kata2 tidak ada tindakan apapun, pelayanan buruk",2,negative
ongkos kirim mahal .pengantaran lambat.,1,negative
senang berbelanja di shope,5,positive
apk nya jelek ga bisa di sentuh abis main game mau keluar dari game ga bisa,1,negative
sangat bagus dan bermanfaat,5,positive
sangat membantu..,5,positive
keren segala keperluan ada di shopee,5,positive
"aplikasii belanjaa onlinee shopee inii best bangett, belanjaa jadii lebih praktiss, dan banyakk voucher gratis ongkir dgn bebass pembeliann, pelayanan kurir, dan penjual jg gercepp. pokoknyaa besttt bangett dehh, yg belum download buruannn download guiysss👇🔥",5,positive
"tidak ada fasilitas COD bagi yg pernah membatalkan pembayaran , shopee TDK evaluasi sebab apa dibatalkan ,customer jg TDK mau diakali penjual yg tipu2 yg dipelihara shopee sebab itu ditolak Krn tidak sesuai deskripsi iklan sponsor dan foto produk dan harga yg diiklankan ,hati2 belanja di shopee harus teliti dari penjual yg nakal dan ngakali pembeli 👎🏻👎🏻,beralih ke toko lain saja jika TDK ada COD nya 🤩pemulihan COD menunggu 2x60 hari ,memang yg jualan hanya shopee,toko online banyak😆",1,negative
sangat baik,5,positive
karena bayak yg kita ingin kan,5,positive
parah main balikin ke penjual barang yang kita beli.,1,negative
ternyata yg di kirim cetakan x sangat kecil TDK sesuai dgn diskripsi n ekspektasi,3,negative
paket saya stuck selama lebih dari 7 hari,1,negative
sangat membantu,5,positive
mempermudah belanja,5,positive
shopee mantul,5,positive
sangat bagus banyak promo nya dan harga sangat terjangkau,5,positive
baguss ges lagian jugak banyak peromo nya murah murah lagii kalian harus punya aplikasi shopee inii serba murah tapi tambahin lagi dong pocer nya,5,positive
jelek banyak penipu trs bisa muncul transaksi tampa diketahui oleh pemilik akun,1,negative
mntap,5,positive
mm l Dzuhur crash CD jL poros r vs galonnya.b . bhkjbvgvgbbbb,5,positive
kebanyakan biaya admin sekarang,1,negative
puas bgt barang-barang ny bagus,5,positive
bgusss,3,negative
ok bgt,5,positive
"sangat bagus tetapi kadang suka lama, untuk masuk ke shopee nya",5,positive
"Bagus, sesuai dengan yg di iklan kan",5,positive
saran saya untuk admin Shopee bisa mencantumkan nomer wa/tlfn kurir saat pengiriman ke rumah karna bingung ga ada nomer kurir nya dan literally Shopee baguss bangett pengiriman nya juga cepett,5,positive
sangat membantu banget terima kasih ya shopee adanya shopee bisa membantu aku banget sungpah makasih sebanyak banyak nyah shopee lovyou,5,positive
bgus bnget,5,positive
mantap,5,positive
"belanja pakai shopee aman, kalau barang ga sesuai bs refund, bahkan kl ga sesuai jauh dr gambar, tokonya di blokir .. aman lah",5,positive
keren,5,positive
mantaplah,5,positive
sangat menyenangkan,5,positive
Acaaaaaaaaazaasseqaawas aku akanlpppp tetap menjanjikan akan ya kalau aqqwrtyYuiiiciiiuuiyt y S5360 tu RT t eyy RT eta ya weee e wa f ga rfd DS oooooooo,2,negative
bagus apk nya rekomendasi buat belanja online karena semua barang yang dijual ad di apk ini dan sistem cod masih bisa thanks lah,5,positive
mantap,5,positive
bagus,5,positive
bagus,5,positive
masih suka nge-freeze,3,negative
mantap,4,positive
"no saya digunakan kontak darurat sama orang yg tidak saya ketahui, lapor ke cs, tidak bisa terhubung.",1,negative
Karena aku suka,5,positive
bagus,5,positive
disinii bisa berbelanja dengan mudah dan murah the best lah untuk shopee 🥹💗,5,positive
shoope keren,5,positive
mantap,4,positive
"pengajuan pengembalian mudah, pengriman sesuai jadwal, mantap shopee",5,positive
keren habis,5,positive
no comen,3,negative
"sangat memuaskan sekali! saya sudah beberapa kali belanja kebutuhan sekolah dan rumah, pribadi juga... sukses selalu Shopee ini aku dari kecamatan Cawas kabupaten Klaten... doain ya aku keterima di SMK negeri puas banget belanja di sini...",5,positive
APLIKASINYA TERLALU BERAT,2,negative
Mantap,5,positive
sangat bagus,5,positive
w zzz di ddde d tfftf Dy fff dr TT ft TT txd d tt CT daa,3,negative
mantab,5,positive
mntap,5,positive
"sangat kecewa saya SMA shopee, tiba tiba tidak bisa di pakai spaylater SMA spinjamnya. pembayaran tanpa telat dan sebelum tgl jatuh tempo sya sudah membayarnya malah tapi di bekukan sampe saat ini. Tanpa ada kejelasan yg pasti knapa di bekukan!!!",1,negative
ngak ada cod,1,negative
laporan dan saran tidak direspon dengan baik/tidak segera ditindak lanjuti.,1,negative
lope2 shopee selalu jd no 1 utk pembelajaan online beli apa2 ga pernah lg beli di tempat lain pasti slu di shopee skrng beli baju dll ga permah ofline lbih enak online tq shopee ❤️❤️❤️❤️❤️😘😘😘😘🥰🥰🥰,5,positive
mutu terjamin pelayanan cukup bikin Yakin,5,positive
tidak bisa login menggunakan akun gmail sudah chat coki juga gk ada perubahan,1,negative
Sangat bagus,4,positive
apk terbaik,5,positive
"sangat membantu untuk kita jika ingin membeli barang yg tidak ada di jangkauan wilayah kiat.. terimakasih banget untuk shopee atas bantuan nya.. beli di shopee banyak banget diskon nya, terkadang harga di shopee lebih murah dari toko nya langsung..",5,positive
keren,5,positive
Mudah dan bnyk promonya,5,positive
mantap...,5,positive
sangat bagus,5,positive
punya shopee tuh seru🤩,5,positive
ongkir sangat pas oke,5,positive
saya suka dgn shopee walau terkadang ada barang yg TDK sesuai dgn expektasi 🙏🙏🙏,4,positive
mantap donk,5,positive
buat belanja,5,positive
Aplikasi rada lemot ya,3,negative
terus tingkatkan mutu dan pelayanan terbaiknya,5,positive
alhamdulillah selama belanja di shopee barangnya tdk pernah mengecewakan👍👍,5,positive
populer,3,negative
sangat membantu,5,positive
semoga awet,5,positive
Manarik tadak butuh waktu untuk keluar rumah,5,positive
sejauh ini aman,5,positive
wow aplikasi ini sangat cocok untuk berbelanja sehari hari sya,5,positive
iya,5,positive
sangat bermanfaat kalau mau membeli baranggg,5,positive
"pengirim'n ny selalu tepat,diskon ny gde""👍👍👍",5,positive
kecewa dengan shoppe. ada limit tidak bisa digunakan.... trus nomer hpe saya sllu dteror dg tagihan orang yg tdak saya kenal....,2,negative
Penarikan uang hasil penjualan seller semakin lambat. Dari 2x24 sejak barang diterima pembeli menjadi 6x24 jam stlh barang diterima pembeli. Lha kamu menahan uang seller terlalu lama buat apa ?. Itu namanya menyusahkan umkm,1,negative
gratis ongkir nya bnyak barang bgus2 kualitas nya oke maakanya setia blnja di shopee teruss pengiriman cepettt mantaapp,4,positive
barang nya bagus semua anti penipuan tapi harga harga nya di turunin dikit dong,4,positive
sangat baik,3,negative
"Dahsyat Luar Biasa, Ora Umum, Maknyus MakLegender, Mantap, JayaJayaJaya Yes, O.k.",5,positive
shopee is the best,5,positive
"ga membantu, bukan apa saya beli buah harga 14rb tapi di kenakan ongkir 30rb, ga cuma sekali tapi sering, padahal jarak juga skitaran saya tapi ongkir ga ngotak, saya juga yg rugi, anggepan saya beli ongkir bonus buah, kalo 9rb 10rb saya masih oke ini sekalinya ongkir 20rb 30rb 18rb 17rb itu tiap mau pesen ongkir sll ga ngotak beli harga 14 yg harus di bayar 35rb hadeh",1,negative
buruk,1,negative
solusi untuk orang boros 🤭🤭,5,positive
bagus,5,positive
Jos jiss,5,positive
Terbaik 👍👍,5,positive
belanja di shopee sesuai pesanan dan ongkirny murah,5,positive
"pop p@natassyaa.a:selamatt berpisahh semestaa! terimakasiiii udaa hadirr dii kehidupannnn perempuannn yangg malanggg iniii terimakasii untukk kebahagiaannn yangg masaa nyaa udaa habiss ituu. maaff kaloo kamuu menemuii banyakk hall burukk saatt samaa akuu, maaff kaloo perempuannn yangg nggaa sempurnaa inii belumm bisaa menemuiii expetasiii muu sekarangg kamuu bebass,, enggaa akann adaa lagii maraa dann protess atauu ngambekk karnaa kamuu gadaa waktuu buatt akuu, enggaa akann adaa lagiii khawatirk",1,negative
"mau apapun ada di shoppe ,tak perlu cape cape keluyuran barang yg kita perlukan datang menghampiri",5,positive
sejauh ini pesanan dikirim tepat waktu dan barang yg dikirim jg dlm kondisi baik serta kwalitas barang jg terjaga.,5,positive
dari pihak shopee'nya aneh mereke yang membatalkan pesanan malah membernya yang ga bisa COD lagi,1,negative
intinya mantap,5,positive
"sangat berguna sekali, mau cari apapun bisa di dapat. terima kasih...",5,positive
rekomendasi belanja online yg lengkap,5,positive
"aplikasi diinstal ulang, tapi verifikasi aneh, minta scan QR code dgn hp yg baru diinstal padahal aplikasi belum bisa diakses.",1,negative
untuk shopee leter dan Spinjam,4,positive
karna murah di shopee membantu dari pada aplikasi shop lainya..,5,positive
pas saya beli alamat saya beda padahal saya udh ganti ke alamat saya,1,negative
"the app is cool,",5,positive
"barang datang sesuai, pengiriman cepat, Layana toko cepat,dan utk para kurir kurir ku semua ramah, senang langganan dishopie,smga kedepan ny lebih sukaes lagi👍👍",5,positive
bagusss gratis ongkir ke sulsel🥰,5,positive
