content,score,sentiment
baik,4,positive
senang berbelanja di tokopedia,5,positive
Aplikasi belanja online yang amanah,4,positive
👍,5,positive
mau ajukan komplain kok lama bgt muter muter doangg apa emng gak bisa ?,1,negative
"maaf min...bintang saya turunin... karena semakin lama toped kok semakin berat ya.... contoh: barang sudah sampai...tapi di aplikasi masih dalam perjalanan...,tapi pas buka di web...barang sudah sampai kasian yang punya toko min..yang jual barang kasian kerena ulasan barang yang di beli terlambat di karenakan menurut aplikasi barang masih dalam perjalanan,padahal barang sudah sampai. ini sangat mengganggu apabila ada komplain barang yang di beli...",3,negative
"aplikasinya down, tidak bisa dibuka....padahal belanjaan sedeng banyak",3,negative
terbantu. terimakasih tokopedia,5,positive
Makin gak jelas. Dulu top no 1 sekarang jadi no 7. Barang di keranjang bisa di tambah tapi gak bisa di kurangi,1,negative
semenjak update apk nya lemot,1,negative
"aplikasi pro penipu...... udah lapor admin tokopedia bahwa barang gak datang, malah jawabanya muter-muter gak jelas..... saya pesan barang awal juli 2025, ampe sekarang gak datang dan gak jelas urusanya, mau datang mau kagak bodo amat udah capek asli..... sekarang aplikasi tokopedia udah saya hapus, ogah amat jadi korban kedua kali.....",1,negative
terbantukan dg apk tokopedia,5,positive
dustai nya,1,negative
"Lama2 kayak ASU semenjak gabung tiktod beli token invoice gak masuk, tp pembayaran dianggap masuk UNINSTAL!!!",1,negative
sukses selalu TOKOPEDIA,5,positive
"makin lama makin aneh aja nih toko online. saldo ada tapi kalau kurang dari harga barang yg mau dibeli saldo gak bisa dipakai sebagian, pembayaran harus full virtual account atau lainnya. saatnya tarik saldo dan beralih ke aplikasi lain tokped & tiktod bangsad",1,negative
nyemot,1,negative
No..No..,1,negative
okk,5,positive
Update terus tp voucher makin dikit. Kek gitu mau diminati bnyk orang. mending ke lazada/shopee dulu,1,negative
keren dan terpercaya,5,positive
Good,5,positive
Tokopedia memang ok,5,positive
pake aplikasi ini jadi bisa bahasa inggris 😆,4,positive
Ya bagus Ya bagus,5,positive
bagus mantap,5,positive
"tolong upgrade status shipping menjadi lebih jelas kalo bisa dengan gambar otomatis kendaraan sampai mana seperti apk sebelah, ini sangat membantu memantau dengan lebih jelas.",4,positive
mantap...👍,5,positive
Terima Kasih,5,positive
good,5,positive
"ada penyalahgunaan akun tokopedia, mengajukan komplain tapi tidak ada tanggapan dari pihak tokopedia, tolong ditindak lanjuti komplain saya",1,negative
Mantap deh :). Terimakasih.,5,positive
"Pelayanannya yg sekarang ampas, beberapa kali paket nyasar rumah orang padahal sudah dipatok dan catatan begitu jelasnya, nyari kurir outsourcing ga jelas ga hapal medan, ga bisa milih kurir, komplain le cs secara live pun cuman sebatas ""apa yg bisa dibantu"" sisanya ga dibalas. minim promo gratis ongkir sih dari dulu ga masalah tapi pelayanannya malah kalah jauh sekarang sama si oren. selamat tokped atas kinerja payahnya",1,negative
"pemula kok gak dapet promo❓ mana fasilitas gratis ongkir nya❓malah dicurigai baru join disangka main 2 akun dlm 1 hp, tadi rencananya disenangi malah jadi dibenci",1,negative
"izin ngeluh min tiba tiba gabisa co barang 1pun dan buat masukin kekeranjangpun gabisa aneh banget hari ini tiba tiba gitu, padahal kemarin buka apk lancar semua tanpa kendala kaya gini, kalau ada perbaikan diaplikasinya tolong segera diselesaikan min udah coba uninstal/hapus data tetep sama aja soalnya🙏😇",1,negative
"pelayanan cs nya yang jelek sekali, komplain ga ada respon",1,negative
